index,l(w),l(x),l(y),l(xy),l(yx),l(y*x),l(y\lefttriangle x),\mu_1,\mu_2,\mu_3,\mu_4,\mu_5,\delta(x_12),\delta(x_13),\delta(x_14),\delta(x_15),\delta(x_23),\delta(x_24),\delta(x_25),\delta(x_34),\delta(x_35),\delta(x_45),\delta(y^-1_12),\delta(y^-1_13),\delta(y^-1_14),\delta(y^-1_15),\delta(y^-1_23),\delta(y^-1_24),\delta(y^-1_25),\delta(y^-1_34),\delta(y^-1_35),\delta(y^-1_45),dimension,components
698,48,4,6,8,4,8,3,6,2,-1,-3,-4,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,26,1
699,44,1,9,8,8,9,8,5,3,0,-3,-5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,26,11
700,50,4,6,8,4,8,3,6,3,-2,-3,-4,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,27,1
701,64,7,3,8,6,8,0,6,4,-1,-4,-5,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,35,22
702,36,10,2,8,8,10,0,3,1,0,-1,-3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,22,35
703,44,9,1,8,8,9,0,4,2,-1,-2,-3,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,26,42
704,16,3,7,8,4,9,4,2,1,0,-1,-2,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,10,1
705,36,7,5,8,6,9,1,3,2,0,-1,-4,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,21,6
706,32,5,5,8,4,8,2,3,2,0,-2,-3,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,18,1
707,44,2,10,8,8,10,8,5,2,1,-2,-6,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,26,33
708,34,4,8,8,6,9,5,3,2,1,-1,-5,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,20,5
709,58,9,3,8,8,10,0,5,2,1,-2,-6,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,33,56
710,38,1,9,8,8,9,8,4,2,1,-1,-6,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,23,1
711,52,7,5,8,4,9,1,5,2,0,-1,-6,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,28,1
712,50,3,9,8,8,10,7,6,2,0,-2,-6,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,29,27
713,38,8,4,8,6,10,0,4,1,0,-2,-3,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,22,5
714,50,7,5,8,8,10,1,5,2,0,-2,-5,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,29,56
715,38,4,8,8,6,10,5,4,2,0,-1,-5,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,22,3
716,36,7,5,8,6,9,1,4,1,0,-2,-3,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,21,5
717,48,6,4,8,4,8,1,6,1,-1,-2,-4,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,26,1
718,54,7,5,8,4,9,1,6,3,-2,-3,-4,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,29,1
719,46,6,4,8,4,8,1,4,2,1,-2,-5,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,25,1
720,50,5,5,8,4,8,2,6,2,-1,-3,-4,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,27,1
721,52,3,7,8,6,8,5,6,2,1,-4,-5,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,29,14
722,56,4,4,8,4,7,2,5,4,-1,-2,-6,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,30,1
723,40,1,7,8,8,8,7,5,2,0,-3,-4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,24,6
724,60,7,3,8,6,8,0,5,4,-1,-2,-6,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,33,16
725,60,8,2,8,6,9,0,5,4,-1,-3,-5,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,33,27
726,46,7,1,8,8,8,0,3,2,1,0,-6,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,27,3
727,52,5,3,8,8,8,1,5,2,0,-1,-6,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,30,46
728,70,8,2,8,6,9,0,6,4,0,-4,-6,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,38,39
729,54,7,3,8,6,8,1,4,3,1,-2,-6,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,30,21
730,58,6,2,8,6,7,0,5,3,1,-4,-5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,32,9
731,48,2,6,8,6,7,5,4,3,2,-3,-6,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,27,17
732,36,2,6,8,6,7,5,6,0,-1,-2,-3,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,20,1
733,66,8,0,8,8,8,0,6,3,-1,-2,-6,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,37,270
734,54,2,6,8,6,7,5,6,3,-1,-2,-6,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,29,1
735,54,3,5,8,4,7,3,5,4,-1,-2,-6,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,29,1
736,32,4,4,8,6,7,2,3,2,0,-2,-3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,19,2
737,36,4,4,8,6,7,2,4,2,-1,-2,-3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,20,1
738,66,4,4,8,4,7,2,6,4,1,-5,-6,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,35,1
739,32,3,7,8,4,7,4,3,2,1,-2,-4,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,18,1
740,56,8,2,8,6,8,0,6,1,0,-2,-5,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,31,15
741,46,6,4,8,4,7,1,5,2,-1,-2,-4,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,25,1
742,56,6,2,8,6,7,0,6,1,0,-1,-6,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,31,7
743,54,3,7,8,6,8,5,6,2,1,-3,-6,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,29,1
744,56,7,3,8,4,7,0,4,3,2,-3,-6,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,30,1
745,50,5,3,8,8,8,1,4,3,1,-3,-5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,29,69
746,60,4,6,8,6,9,4,5,4,2,-5,-6,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,33,2
747,60,7,3,8,4,7,0,6,2,0,-2,-6,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,32,1
748,54,6,2,8,6,7,0,5,4,-2,-3,-4,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,30,18
749,62,4,4,8,8,8,2,5,4,2,-5,-6,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,35,90
750,40,4,4,8,6,7,3,6,0,-1,-2,-3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,23,2
751,45,1,6,7,5,6,5,5,2,1,-3,-5,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,25,2
752,59,1,8,7,7,8,7,6,4,1,-5,-6,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,33,15
753,53,7,4,7,7,9,0,4,3,1,-2,-6,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,30,17
754,55,7,6,7,5,9,1,5,3,0,-2,-6,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,30,8
755,51,3,10,7,7,10,7,5,3,2,-4,-6,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,28,1
756,55,5,4,7,5,7,2,6,2,0,-3,-5,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,30,4
757,53,2,5,7,5,6,4,5,3,1,-3,-6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,29,1
758,25,4,7,7,5,9,4,3,1,0,-1,-3,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,15,3
759,57,4,7,7,5,9,4,6,3,0,-3,-6,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,31,8
760,35,2,7,7,5,8,5,6,0,-1,-2,-3,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,20,5
761,43,2,7,7,9,9,6,6,1,0,-3,-4,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,25,54
762,53,7,6,7,5,9,1,6,2,-1,-2,-5,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,29,5
763,39,2,9,7,9,10,8,5,2,0,-3,-4,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,24,30
764,51,1,6,7,5,6,5,6,3,-1,-3,-5,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,28,2
765,47,6,5,7,5,8,2,5,2,0,-3,-4,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,26,3
766,59,6,5,7,5,8,2,6,4,-2,-3,-5,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,32,2
767,59,7,4,7,5,9,0,5,4,0,-4,-5,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,32,1
768,45,5,6,7,5,8,2,4,2,1,-1,-6,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,25,2
769,57,0,7,7,7,7,7,6,4,0,-4,-6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,32,9
770,61,3,6,7,7,8,5,6,3,2,-5,-6,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,34,66
771,39,5,6,7,5,8,2,3,2,1,0,-6,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,22,6
772,37,6,3,7,5,7,1,4,1,0,-2,-3,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,21,6
773,49,3,6,7,7,8,5,6,1,0,-1,-6,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,27,5
774,65,8,3,7,5,8,0,6,4,-1,-4,-5,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,35,2
775,65,8,5,7,5,9,1,6,5,-2,-4,-5,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,35,2
776,61,5,2,7,5,6,1,5,3,2,-4,-6,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,33,3
777,53,8,1,7,9,9,0,4,2,1,-1,-6,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,31,21
778,47,7,2,7,9,9,0,4,2,1,-3,-4,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,28,10
779,55,8,5,7,5,9,1,5,3,0,-3,-5,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,30,3
780,55,3,6,7,7,8,5,5,4,0,-3,-6,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,31,27
781,65,7,2,7,9,9,0,5,4,1,-4,-6,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,37,105
782,35,4,5,7,5,8,3,3,2,1,-2,-4,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,20,2
783,47,6,1,7,5,6,0,5,1,0,-2,-4,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,26,5
784,43,3,4,7,5,6,3,4,3,0,-3,-4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,24,7
785,45,3,6,7,5,7,4,4,3,0,-1,-6,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,25,5
786,65,8,1,7,9,9,0,6,2,1,-3,-6,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,37,100
787,45,3,4,7,5,6,3,5,2,0,-3,-4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,25,7
788,49,9,2,7,7,9,0,4,3,-1,-2,-4,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,28,45
789,65,3,4,7,5,6,3,6,5,-1,-4,-6,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,35,8
790,57,5,4,7,5,7,1,6,2,0,-2,-6,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,31,4
791,61,6,3,7,7,8,0,5,4,0,-3,-6,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,34,45
792,59,6,3,7,7,8,0,6,3,-1,-3,-5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,33,40
793,56,7,3,8,6,8,0,5,2,1,-2,-6,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,31,12
794,52,6,4,8,6,8,2,4,3,2,-4,-5,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,29,7
795,52,5,5,8,8,9,3,5,2,1,-2,-6,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,30,81
796,16,3,7,8,8,9,5,2,1,0,-1,-2,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,11,2
797,38,3,9,8,8,10,7,5,2,-1,-2,-4,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,23,14
798,28,2,8,8,8,9,7,4,1,0,-2,-3,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,18,3
799,26,2,8,8,10,10,7,3,2,0,-2,-3,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,17,6
800,46,4,8,8,6,9,5,5,3,-1,-2,-5,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,26,6
801,42,4,6,8,8,9,5,4,3,0,-3,-4,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,25,8
802,48,1,7,8,6,7,6,5,3,1,-4,-5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,27,4
803,64,5,5,8,8,9,1,6,4,0,-4,-6,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,36,54
804,48,0,8,8,8,8,8,6,2,0,-2,-6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,28,18
805,56,4,6,8,6,8,3,6,3,-1,-2,-6,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,31,12
806,26,8,2,8,8,9,0,2,1,0,-1,-2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,17,5
807,66,7,3,8,10,10,0,5,4,2,-5,-6,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,37,91
808,50,7,3,8,10,10,0,6,1,-1,-2,-4,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,30,30
809,50,3,7,8,6,8,5,5,3,0,-2,-6,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,28,8
810,66,9,1,8,10,10,0,5,3,2,-4,-6,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,38,120
811,52,8,2,8,8,9,0,4,2,1,-1,-6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,30,23
812,46,5,5,8,8,9,1,5,2,0,-3,-4,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,27,10
813,58,7,1,8,8,8,0,6,3,-2,-3,-4,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,32,20
814,40,8,4,8,6,9,1,3,2,1,-2,-4,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,23,6
815,54,4,6,8,6,8,3,5,3,1,-3,-6,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,30,3
816,44,6,4,8,6,8,2,4,3,-1,-2,-4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,25,10
817,52,6,4,8,6,8,2,4,3,1,-2,-6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,29,12
818,46,8,2,8,10,10,0,6,0,-1,-2,-3,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,28,4
819,62,10,2,8,8,10,0,6,2,0,-3,-5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,35,180
820,53,8,3,7,7,9,0,6,1,0,-3,-4,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,30,35
821,57,4,9,7,7,10,6,6,5,-2,-4,-5,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,31,7
822,47,3,8,7,7,9,6,6,1,0,-1,-6,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,26,2
823,49,6,7,7,7,10,3,4,3,1,-2,-6,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,28,24
824,49,6,7,7,7,10,3,5,3,-1,-2,-5,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,27,7
825,59,6,7,7,7,10,3,5,4,1,-4,-6,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,33,50
826,43,7,4,7,9,10,0,4,2,0,-2,-4,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,26,11
827,31,5,6,7,9,10,2,3,2,0,-2,-3,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,20,7
828,53,7,4,7,9,10,0,6,2,-1,-3,-4,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,30,41
829,59,8,5,7,5,9,1,6,2,0,-2,-6,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,32,3
830,37,6,7,7,7,10,4,5,1,-1,-2,-3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,22,3
831,55,5,8,7,7,10,5,6,3,0,-4,-5,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,31,65
832,57,6,7,7,7,10,3,5,4,0,-3,-6,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,32,50
833,49,8,3,7,7,10,0,5,2,-1,-2,-4,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,28,35
834,39,8,5,7,7,10,2,3,2,1,-2,-4,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,23,23
835,73,9,2,7,7,10,0,6,5,-1,-4,-6,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,40,103
836,55,4,7,7,5,9,4,5,4,0,-3,-6,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,30,3
837,35,7,6,7,7,10,2,3,2,0,-1,-4,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,21,8
838,39,6,7,7,7,10,3,3,2,1,0,-6,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,22,3
839,65,5,6,7,5,9,3,6,4,1,-5,-6,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,35,6
840,53,5,8,7,7,10,4,5,3,1,-3,-6,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,30,27
841,41,3,6,7,7,8,4,5,2,-1,-2,-4,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,24,17
842,49,7,2,7,7,8,0,5,1,0,-1,-5,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,28,13
843,25,6,1,7,5,6,0,2,1,0,-1,-2,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,15,2
844,53,2,5,7,7,7,5,5,3,1,-3,-6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,30,25
845,65,3,4,7,7,7,4,6,4,1,-5,-6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,36,76
846,57,4,3,7,7,7,1,6,2,0,-2,-6,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,32,42
847,61,3,8,7,5,9,5,6,5,-1,-4,-6,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,33,5
848,47,3,8,7,7,9,6,6,2,-1,-2,-5,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,27,27
849,39,6,1,7,5,6,0,4,1,0,-2,-3,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,22,3
850,45,5,2,7,7,7,1,4,2,1,-3,-4,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,26,14
851,39,2,7,7,7,8,6,4,3,0,-3,-4,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,23,23
852,47,6,1,7,7,7,0,4,2,0,-1,-5,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,27,28
853,63,5,2,7,7,7,0,5,4,1,-4,-6,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,35,34
854,69,7,2,7,7,8,0,6,4,0,-4,-6,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,38,90
855,29,5,4,7,5,7,1,3,1,0,-1,-3,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,17,1
856,49,5,4,7,9,9,1,6,1,0,-3,-4,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,29,85
857,63,6,1,7,7,7,0,6,2,1,-3,-6,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,35,60
858,53,3,6,7,7,8,4,5,4,-1,-2,-6,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,30,15
859,49,2,7,7,7,8,6,6,2,0,-3,-5,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,28,26
860,45,1,6,7,5,6,5,4,3,1,-2,-6,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,25,2
861,45,2,5,7,5,6,4,5,3,-1,-3,-4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,25,1
862,25,2,5,7,7,7,5,3,1,0,-1,-3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,16,3
863,29,4,3,7,7,7,1,3,1,0,-1,-3,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,18,8
864,39,5,4,7,5,7,1,3,2,1,-1,-5,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,22,1
865,45,5,4,7,5,7,1,4,2,1,-2,-5,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,25,1
866,53,4,3,7,7,7,1,6,3,-2,-3,-4,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,30,30
867,56,6,8,6,4,10,3,6,3,0,-4,-5,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,30,1
868,52,7,1,6,6,7,0,4,3,0,-2,-5,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,29,15
869,68,9,3,6,6,9,0,5,4,2,-5,-6,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,37,9
870,46,6,6,6,8,10,3,4,2,1,-1,-6,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,27,21
871,54,6,6,6,8,10,3,5,4,-1,-3,-5,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,31,113
872,62,4,8,6,8,10,6,6,4,1,-5,-6,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,35,90
873,68,5,5,6,8,9,2,6,5,0,-5,-6,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,38,125
874,46,6,2,6,6,7,0,4,2,0,-1,-5,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,26,9
875,60,6,6,6,6,10,2,6,3,0,-3,-6,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,33,15
876,64,7,7,6,4,10,2,6,5,-2,-3,-6,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,34,1
877,18,5,7,6,8,10,5,2,1,0,-1,-2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,13,1
878,52,4,4,6,4,6,2,6,3,-2,-3,-4,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,28,1
879,54,6,2,6,4,6,0,5,2,0,-1,-6,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,29,1
880,48,7,3,6,4,7,0,4,2,1,-2,-5,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,26,1
881,50,10,4,6,6,10,0,4,2,1,-2,-5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,28,7
882,52,7,7,6,4,10,2,6,2,-1,-2,-5,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,28,1
883,46,4,6,6,6,8,3,6,1,0,-3,-4,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,26,5
884,46,4,6,6,6,8,3,5,2,0,-2,-5,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,26,4
885,40,3,5,6,6,7,3,4,2,0,-1,-5,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,23,3
886,44,7,7,6,4,10,2,5,1,0,-1,-5,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,24,1
887,42,7,7,6,6,10,3,4,2,0,-1,-5,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,24,9
