index,l(w),l(x),l(y),l(xy),l(yx),l(y*x),l(y\lefttriangle x),\mu_1,\mu_2,\mu_3,\mu_4,\mu_5,\delta(x_12),\delta(x_13),\delta(x_14),\delta(x_15),\delta(x_23),\delta(x_24),\delta(x_25),\delta(x_34),\delta(x_35),\delta(x_45),\delta(y^-1_12),\delta(y^-1_13),\delta(y^-1_14),\delta(y^-1_15),\delta(y^-1_23),\delta(y^-1_24),\delta(y^-1_25),\delta(y^-1_34),\delta(y^-1_35),\delta(y^-1_45),dimension,components
41,49,7,6,5,5,9,2,5,3,-1,-3,-4,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,27,2
42,51,5,4,5,5,8,1,4,3,1,-2,-6,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,28,4
43,29,7,6,5,5,10,1,3,1,0,-1,-3,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,17,2
44,53,6,3,5,7,8,0,6,1,0,-2,-5,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,30,33
45,47,2,7,5,7,8,6,6,1,0,-1,-6,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,26,5
46,61,6,5,5,5,9,1,6,3,0,-3,-6,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,33,9
47,51,6,5,5,5,10,2,4,3,1,-2,-6,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,28,5
48,57,5,8,5,5,10,4,5,4,1,-4,-6,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,31,1
49,43,6,5,5,5,10,2,5,1,0,-2,-4,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,24,6
50,53,4,7,5,5,10,4,6,2,0,-2,-6,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,29,8
51,55,5,8,5,5,10,4,5,3,2,-4,-6,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,30,2
52,45,7,6,5,5,9,1,5,2,-1,-2,-4,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,25,3
53,29,6,5,5,5,9,2,3,1,0,-1,-3,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,17,2
54,43,4,5,5,5,7,3,5,1,0,-1,-5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,24,6
